PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
167.000,7.3808,7.3810,3.478279,3.478597,0.2187,1.0632,98.88,165.634,1.459,33.9877,33.9910,2.0489,1027.3328,1027.3354,1481.60,1481.61,0.0000e+00
168.000,7.3822,7.3824,3.478567,3.478887,0.2434,1.0620,98.88,166.625,1.676,33.9891,33.9923,2.0395,1027.3383,1027.3408,1481.62,1481.63,0.0000e+00
169.000,7.3829,7.3831,3.478751,3.479048,0.2160,1.0615,87.90,167.617,1.718,33.9898,33.9929,2.0360,1027.3433,1027.3457,1481.64,1481.65,0.0000e+00
170.000,7.3836,7.3839,3.478905,3.479235,0.2041,1.0605,42.20,168.608,1.548,33.9904,33.9937,2.0330,1027.3482,1027.3508,1481.66,1481.67,0.0000e+00
171.000,7.3834,7.3836,3.479007,3.479328,0.2050,1.0596,94.81,169.599,1.066,33.9912,33.9945,2.0248,1027.3535,1027.3560,1481.68,1481.69,0.0000e+00
172.000,7.3809,7.3815,3.478851,3.479193,0.1841,1.0579,98.89,170.591,0.445,33.9915,33.9946,2.0298,1027.3586,1027.3609,1481.69,1481.69,0.0000e+00
173.000,7.3771,7.3774,3.478603,3.478924,0.1973,1.0553,98.89,171.582,0.766,33.9920,33.9952,2.0108,1027.3641,1027.3666,1481.69,1481.70,0.0000e+00
174.000,7.3771,7.3773,3.478863,3.479182,0.2075,1.0532,84.51,172.574,0.958,33.9943,33.9976,1.9883,1027.3705,1027.3731,1481.71,1481.71,0.0000e+00
175.000,7.3768,7.3770,3.479086,3.479407,0.1784,1.0503,71.71,173.565,1.032,33.9966,33.9999,1.9643,1027.3770,1027.3795,1481.73,1481.73,0.0000e+00
176.000,7.3754,7.3756,3.479086,3.479403,0.1858,1.0466,99.15,174.556,1.099,33.9975,34.0007,1.9374,1027.3824,1027.3849,1481.74,1481.75,0.0000e+00
177.000,7.3717,7.3717,3.479211,3.479504,0.1872,1.0415,98.89,175.548,1.161,34.0020,34.0051,1.9179,1027.3911,1027.3935,1481.75,1481.75,0.0000e+00
178.000,7.3706,7.3708,3.479214,3.479520,0.1822,1.0379,98.89,176.539,1.169,34.0026,34.0058,1.9085,1027.3962,1027.3987,1481.76,1481.77,0.0000e+00
179.000,7.3711,7.3711,3.479773,3.480034,0.1808,1.0355,98.89,177.530,1.094,34.0077,34.0105,1.9075,1027.4048,1027.4069,1481.79,1481.79,0.0000e+00
180.000,7.3720,7.3723,3.480058,3.480369,0.2051,1.0313,98.89,178.522,0.912,34.0095,34.0126,1.8924,1027.4106,1027.4130,1481.81,1481.81,0.0000e+00
181.000,7.3741,7.3742,3.480382,3.480664,0.1897,1.0269,75.52,179.513,0.679,34.0104,34.0134,1.8798,1027.4156,1027.4179,1481.83,1481.84,0.0000e+00
182.000,7.3771,7.3775,3.480805,3.481145,0.1797,1.0223,99.24,180.504,0.682,34.0116,34.0149,1.8606,1027.4207,1027.4231,1481.86,1481.87,0.0000e+00
183.000,7.3788,7.3784,3.481075,3.481315,0.1923,1.0166,98.89,181.496,0.787,34.0124,34.0154,1.8571,1027.4256,1027.4280,1481.89,1481.89,0.0000e+00
184.000,7.3796,7.3796,3.481212,3.481489,0.1824,1.0174,98.89,182.487,0.838,34.0126,34.0156,1.8700,1027.4302,1027.4326,1481.91,1481.91,0.0000e+00
185.000,7.3841,7.3833,3.481861,3.482047,0.1929,1.0144,98.89,183.479,0.927,34.0148,34.0175,1.8472,1027.4358,1027.4381,1481.94,1481.94,0.0000e+00
186.000,7.3908,7.3910,3.482735,3.483079,0.1918,1.0118,93.00,184.470,1.050,34.0172,34.0207,1.8295,1027.4414,1027.4441,1481.99,1481.99,0.0000e+00
187.000,7.3920,7.3922,3.482928,3.483274,0.1692,1.0091,67.88,185.461,1.111,34.0177,34.0212,1.8145,1027.4461,1027.4488,1482.01,1482.02,0.0000e+00
188.000,7.3941,7.3941,3.483263,3.483585,0.1802,1.0067,98.86,186.453,1.092,34.0188,34.0222,1.7897,1027.4512,1027.4539,1482.03,1482.04,0.0000e+00
189.000,7.4033,7.4036,3.484414,3.484734,0.1912,1.0016,98.89,187.444,0.987,34.0217,34.0249,1.7857,1027.4567,1027.4592,1482.09,1482.10,0.0000e+00
190.000,7.4033,7.4035,3.484490,3.484801,0.2021,0.9991,98.89,188.435,0.794,34.0221,34.0253,1.7985,1027.4616,1027.4641,1482.11,1482.11,0.0000e+00
191.000,7.4031,7.4033,3.484509,3.484822,0.1795,0.9987,98.89,189.426,0.634,34.0220,34.0252,1.8057,1027.4661,1027.4686,1482.12,1482.13,0.0000e+00
